NO,家賃,敷金,礼金,面積,築年数,駅徒歩分,間取,方位,構造
1,60000,1,1,23.15,19,7,1K,南,軽量鉄骨
2,77000,2,1,23.19,16,2,1K,南東,木造
3,60000,1,1,32.05,19,10,1DK,南,木造
4,62000,1,1,18,14,11,1K,南東,木造
5,64000,2,1,21.11,0,2,1K,東,木造
6,51000,1,1,15.8,21,12,1K,南,木造
7,43000,1,1,14.6,16,12,1R,南,木造
8,59000,2,0,17.39,18,6,1K,南西,木造
9,55000,2,1,19.8,16,10,1K,南,軽量鉄骨
10,51000,2,1,17,18,6,1K,南,木造
11,74000,2,1,19.88,5,8,1K,南,木造
12,47000,2,0.5,21,18,13,1DK,南西,木造
13,58000,2,1,18,42,11,1K,南東,木造
14,72000,2,2,20.7,0,2,1K,南東,軽量鉄骨
15,69000,1,1,27,15,4,1DK,南,木造
16,52000,1,1,17,17,13,1R,南,木造
17,73000,2,1,24.94,4,4,1R,西,木造
18,50000,1,1,23,39,5,1K,南,軽量鉄骨
19,56000,0,0,23.14,17,15,1R,東,木造
20,36000,1,1,18,34,8,1DK,東,軽量鉄骨
21,63000,0,0,17.42,14,10,1K,南,軽量鉄骨
22,64000,2,1,22.01,14,5,1R,南,木造
23,70000,2,2,31.53,28,8,1DK,南,木造
24,55000,2,0,22.77,23,15,1DK,南,木造
25,55500,1,1,14.76,19,15,1K,東,木造
26,57000,1,1,19,19,10,1K,南,軽量鉄骨
27,71000,2,1,28.7,0,5,1K,南西,木造
28,66000,2,1,28,18,8,1K,南東,木造
29,50000,1,1,17.95,19,15,1R,南,木造
30,55500,1,1,14.8,20,6,1K,西,木造
31,59000,2,2,19.83,16,15,1K,東,木造
32,55000,1,1,16.52,15,8,1K,南,木造
33,67000,2,0,28.35,12,7,1DK,南,木造
34,70000,2,1,24.4,16,15,1K,南西,木造
35,61000,2,1,23,22,2,1K,東,木造
36,70000,2,1,21.95,0,5,1K,南西,木造
37,72000,2,1,22.68,34,2,1K,南東,木造
38,49000,1,1,16,20,7,1K,南,木造
39,59000,2,1,19.04,14,10,1R,南,軽量鉄骨
40,56000,2,1,18,18,3,1R,南東,木造
41,35000,2,1,17,31,15,1K,南,軽量鉄骨
42,54500,1,1,20.31,18,10,1K,西,木造
43,63000,1,1,24,23,3,1K,南東,木造
44,65000,2,1,19.8,17,10,1K,南,木造
45,48000,2,1,27,27,5,1DK,南,木造
46,56500,1,1,14.76,19,15,1K,東,木造
47,54500,1,1,15.94,18,15,1R,南,木造
48,55000,2,1,19,22,6,1K,南西,木造
49,71000,2,1,22,3,7,1R,東,軽量鉄骨
50,72000,2,1,23.1,16,3,1K,南東,木造
51,54500,1,1,17.77,18,10,1K,東,木造
52,67000,1,1,30.83,19,10,1DK,南,木造
53,56000,1,1,19,18,10,1R,南東,木造
54,55500,0,0,15.67,19,10,1K,東,軽量鉄骨
55,50000,2,1,14.87,17,10,1K,北東,木造
56,52000,1,2,20.66,22,7,1K,南,木造
57,61500,1,1,28.92,23,4,1DK,南,木造
58,77000,2,1,23.1,16,3,1K,南東,木造
59,56000,1,1,19,18,9,1K,南,木造
60,46000,1,1,14,19,8,1DK,南,木造
61,58000,1,1,21,21,10,1R,南西,木造
62,62000,2,2,20.28,9,10,1K,西,木造
63,64500,2,1,18.04,4,8,1K,西,木造
64,70000,2,1,20.44,13,5,1K,南,木造
65,57000,1,1,18.01,15,13,1K,南,木造
66,65000,1,2,20,18,10,1K,南,木造
67,77000,2,2,25.68,0,5,1K,南,木造
68,60000,1,1,24.3,20,5,1K,南東,木造
69,55000,1,0,16.52,19,12,1K,南,軽量鉄骨
70,39000,1,1,21,36,7,1K,南,木造
71,65000,2,1,28.92,12,10,1DK,南東,木造
72,65000,2,1,22.98,0,13,1K,南,軽量鉄骨
73,72000,2,1,20.7,0,2,1K,南東,木造
74,76000,2,2,25.68,0,5,1K,南,木造
75,72000,2,1,23.1,14,3,1K,東,軽量鉄骨
76,66000,1,1,19.87,11,2,1K,南,木造
77,63000,1,1,19.44,15,10,1K,南,木造
78,57000,1,1,18.5,16,13,1K,南,木造
79,63000,1,1,19.8,16,10,1K,南,木造
80,50500,1,1,14.76,18,15,1K,東,鉄骨造
81,35000,2,1,17,31,15,1K,南,木造
82,55000,2,1,16,18,2,1R,南,木造
83,53000,1,1,15.8,21,12,1K,南,木造
84,54000,2,1,20,19,2,1K,南東,木造
85,67000,2,1,20.7,0,2,1K,南東,木造
86,52000,1,1,23,23,15,1K,南東,軽量鉄骨
87,72000,2,1,20.7,0,2,1K,南東,木造
88,45000,1,1,14,19,10,1R,南西,木造
89,61000,1,1,18.31,18,2,1R,南,木造
90,42000,1,1,24,31,9,1DK,東,木造
91,57000,2,0,21.7,18,12,1K,南,木造
92,47000,1,1,22.4,37,10,1K,南,木造
93,59000,1,1,18.01,18,2,1R,北東,木造
94,63000,2,1,20.03,14,15,1K,南,木造
95,64000,1,1,26.4,11,10,1K,南西,木造
96,51000,1,1,20.5,20,2,1K,南,木造
97,63000,1,1,18,11,2,1K,南,軽量鉄骨
98,56000,1,1,18,19,8,1K,東,木造
99,59000,1,1,20,14,7,1K,南,木造
100,59000,0,0,17.42,14,10,1K,南,鉄骨造
101,61000,1,1,19.51,13,11,1R,南,木造
102,51000,2,1,14.88,24,2,1K,西,木造
103,66000,2,2,27.74,2,10,1K,南西,鉄骨造
104,77000,2,1,22.68,34,2,1K,南東,木造
105,65000,1,1,30.5,23,15,1K,南,軽量鉄骨
106,57000,1,1,19.56,14,10,1K,南東,軽量鉄骨
107,59000,1,1,24,13,12,1K,南,木造
108,62000,2,1,19.5,18,2,1K,東,木造
109,53000,2,1,21,17,13,1K,西,木造
110,72000,2,1,22.77,0,5,1K,南西,軽量鉄骨
111,63000,2,1,26,28,10,1DK,南,木造
112,67000,1,1,24.75,14,11,1K,南,木造
113,56000,2,1,19.8,16,10,1K,南,木造
114,45000,1,0,14.51,19,10,1R,南,木造
115,61000,1,1,29.7,22,9,1DK,南,木造
116,55000,2,1,22,22,7,1K,南,木造
117,59000,0,0,17.42,14,10,1K,南,木造
118,61000,1,1,20.2,18,5,1K,南西,木造
119,69000,2,1,23.77,5,15,1K,南,木造
120,52000,1,1,14.87,19,15,1K,南,木造
121,56000,1,0,17.32,23,8,1K,南西,木造
122,65000,1,1,19.8,16,11,1K,南,軽量鉄骨
123,59000,2,2,18.5,16,9,1K,西,木造
124,64000,2,1,23.73,2,13,1K,南,軽量鉄骨
125,60000,2,2,20.3,16,4,1K,南,木造
126,58000,2,0,20.06,18,5,1K,南東,木造
127,59000,2,1,33,25,5,1DK,南東,軽量鉄骨
128,65000,1,1,19.44,16,10,1K,南,木造
129,82000,1,1,30.22,0,8,1K,南,木造
130,60000,2,0,20.66,24,6,1K,東,木造
131,50000,0,0,20.2,27,13,1K,南東,木造
132,55000,1,1,21.87,22,6,1K,南,木造
133,60000,2,2,17.35,16,4,1K,東,木造
134,49000,2,1,18.18,17,10,1K,南,軽量鉄骨
135,52000,0,0,23.14,38,14,1R,南東,木造
136,53000,2,1,16.52,19,12,1K,南,軽量鉄骨
137,53000,1,1,25,26,7,1DK,南,木造
138,55000,2,1,17.4,16,10,1R,西,木造
139,68000,1,1,25.31,12,13,1K,南,鉄骨造
140,50000,1,2,20.66,22,8,1K,南,木造
141,48000,2,1,24,20,13,1K,西,鉄骨造
142,49000,2,1,14.87,17,10,1K,南,木造
143,50000,2,2,17,17,15,1R,南,木造
144,51000,2,0,17,20,6,1K,南,木造
145,52000,1,1,18.15,16,6,1K,北,木造
146,72000,2,1,28.06,16,15,1K,南,木造
147,58000,1,1,16,13,7,1K,南,木造
148,66000,2,1,21,17,4,1K,南,軽量鉄骨
149,72000,2,1,20.7,0,2,1K,東,木造
150,55000,1,1,21.06,38,6,1K,南,木造
151,60000,2,1,20,16,4,1K,南,木造
152,61000,1,1,23.1,10,12,1K,南,木造
153,46000,2,1,23.21,34,7,1K,西,木造
154,61000,2,1,22.4,22,3,1K,南東,木造
155,49000,1,1,17.95,19,15,1R,南,木造
156,72000,2,1,19.4,1,6,1K,南東,木造
157,72000,2,2,20.7,0,1,1K,南,木造
158,57000,2,1,21.01,24,12,1K,南,木造
159,62500,2,0,21.79,37,5,1R,南東,木造
160,61000,1,1,21.05,11,10,1K,西,木造
161,65000,2,1,22.98,0,13,1K,南東,木造
162,70000,1,1,27,15,4,1DK,南,木造
163,86000,1,1,30.22,0,8,1K,南,木造
164,52000,2,1,24,17,11,1R,南,木造
165,58000,2,1,18.2,16,13,1K,南東,木造
166,70000,2,1,28.09,13,4,1DK,南,木造
167,60000,2,1,18.5,16,13,1K,南東,木造
168,72000,2,1,20.7,0,1,1K,南,木造
169,55000,2,1,19.83,12,13,1K,南東,軽量鉄骨
170,50000,2,0,17.4,15,13,1K,北東,軽量鉄骨
171,69000,2,1,19.87,1,2,1K,西,鉄骨造
172,67000,1,1,19.87,11,2,1K,南,木造
173,67000,2,1,19.83,20,8,1K,南,鉄骨造
174,74000,2,1,19.8,5,10,1K,南,木造
175,72000,2,2,20.7,0,2,1K,南東,木造
176,67000,2,1,20.7,0,2,1K,南東,木造
177,60000,2,1,19,11,7,1K,南,木造
178,62000,2,2,20.28,9,10,1K,西,木造
179,67000,2,1,33,19,5,1DK,南西,軽量鉄骨
180,50000,1,0,18.02,25,13,1K,南,木造
181,36500,2,1,13.36,32,12,1K,南,木造
182,60000,2,1,16,3,8,1R,南,木造
183,66000,1,1,25.4,11,10,1K,南西,木造
184,64000,2,1,21.47,7,15,1K,南,木造
185,52000,0,0,20.2,27,13,1K,南東,木造
186,54000,2,1,20,16,4,1R,東,木造
187,50000,2,2,13.36,8,10,1K,南,軽量鉄骨
188,60000,2,1,20,16,4,1K,西,木造
189,58000,1,1,19.6,14,10,1K,南,木造
190,56000,1,1,21.06,38,6,1K,南,木造
191,62000,1,1,16.56,18,3,1K,南東,軽量鉄骨
192,60000,1,1,18,19,8,1K,南西,軽量鉄骨
193,64000,1,1,16.1,15,2,1R,南,木造
194,51000,1,1,16.5,15,10,1R,東,木造
195,60000,2,0,18.01,20,5,1K,南,木造
196,72000,2,1,29,17,13,1DK,南,軽量鉄骨
197,51000,2,1,19,22,3,1K,南,木造
198,69000,1,1,26.5,15,4,1DK,南,木造
199,67000,2,1,23.88,0,5,1K,西,木造
200,60000,2,1,18,19,11,1K,南,木造
201,72000,2,1,20.7,0,2,1K,南東,木造
202,58000,2,1,18.6,18,11,1K,南西,木造
203,73000,2,2,25.68,0,5,1K,南,木造
204,57000,2,1,22,18,5,1K,南,木造
205,51000,1,1,22.4,37,10,1K,南,木造
206,72500,1,1,22,5,7,1K,東,木造
207,56000,1,0,17.32,23,8,1K,南西,木造
208,60000,1,1,22,20,4,1DK,南,木造
209,52000,1,1,18.15,16,6,1K,北,木造
210,62000,1,1,19.85,14,10,1K,南東,軽量鉄骨
211,66000,2,1,18,16,5,1K,南西,木造
212,67000,2,1,28.16,26,7,1K,南東,木造
213,58000,2,1,27.07,37,8,1K,南,木造
214,51000,1,1,18,19,8,1R,南,木造
215,55000,2,0,22.77,23,15,1K,西,木造
216,57000,1,1,19,19,10,1R,南,木造
217,67000,2,1,20.7,0,1,1K,南,木造
218,73000,2,1,23.51,16,3,1K,南,木造
219,25000,1,1,10,21,9,1K,南,木造
220,67000,1,1,16.01,15,2,1R,東,木造
221,58000,1,1,22.68,24,9,1R,南,木造
222,63000,2,1,26.4,11,10,1DK,南西,木造
223,61000,1,1,18,18,5,1K,南,木造
224,26000,1,1,10,43,9,1R,南,木造
225,75000,2,1,19.8,5,10,1K,南,木造
226,62500,2,1,26,37,5,1R,東,木造
227,58000,1,1,24.84,22,10,1K,南,木造
228,67000,2,1,25.11,12,5,1K,西,木造
229,55000,2,1,17.4,16,10,1R,南,軽量鉄骨
230,56000,1,2,19.94,14,7,1R,南,木造
231,58000,1,0,16,17,5,1K,南,木造
232,83000,2,2,30,16,7,1K,南,軽量鉄骨
233,56000,1,1,19,18,9,1K,西,軽量鉄骨
234,53000,2,2,17.5,17,7,1K,南,木造
235,44000,1,1,16,19,10,1R,南西,木造
236,60000,2,1,18.5,16,10,1K,南西,木造
237,55500,1,1,14.76,18,15,1K,東,木造
238,59000,1,1,23.51,19,5,1K,南,軽量鉄骨
239,52000,2,1,14.88,24,2,1K,東,木造
240,73000,2,2,23.6,8,5,1K,南,木造
241,67000,2,1,19.83,18,8,1K,南,木造
242,61000,1,1,18,19,10,1K,南,木造
243,61000,1,1,19,18,3,1K,南,木造
244,61000,1,1,24,18,7,1K,南東,木造
245,50000,1,1,19.87,28,10,1K,南,軽量鉄骨
246,67000,2,1,20.7,0,2,1K,南東,木造
247,45000,1,1,18.9,28,12,1K,南,木造
248,64000,2,1,21.73,0,2,1K,北東,木造
249,52000,1,1,18.83,25,3,1K,南,木造
250,71000,2,1,24.94,4,4,1R,南,木造
251,60000,2,1,26.5,20,7,1K,南,木造
252,58000,1,1,18,14,11,1K,南東,木造
253,74000,2,2,25.68,0,5,1K,南,木造
254,63000,2,2,18,16,5,1K,西,木造
255,66000,1,1,19.87,11,2,1K,南,軽量鉄骨
256,54000,1,1,18,18,15,1K,南,木造
257,47000,1,1,20.5,20,2,1K,南,木造
258,72000,2,1,18.47,1,6,1K,南,木造
259,57000,1,1,19,18,9,1K,西,木造
260,62000,2,2,23.14,16,8,1K,東,木造
261,57500,2,1,16.53,14,7,1R,北,木造
262,58000,2,1,20.03,14,15,1K,南,木造
263,61000,2,1,20.82,7,10,1R,西,鉄骨造
264,55000,1,0,17.52,17,10,1K,西,軽量鉄骨
265,60000,2,1,23.5,25,3,1K,南,木造
266,65000,1,1,19.8,16,10,1K,南,木造
267,56000,2,1,20.24,16,13,1K,南,木造
268,52000,2,1,19.83,22,15,1K,南,軽量鉄骨
269,73000,2,1,24.4,16,15,1K,南西,木造
270,63000,0,0,17.42,14,10,1K,南,木造
271,56500,1,1,26.94,23,12,1K,南,木造
272,36000,2,1,17,31,15,1K,南,木造
273,60000,2,1,19,16,4,1K,南,木造
274,70000,2,1,28.56,31,9,1DK,南,軽量鉄骨
275,72000,2,1,20.7,0,2,1K,南東,木造
276,57000,2,1,25.92,24,5,1DK,南東,木造
277,69000,2,1,27.06,19,5,1DK,南,木造
278,48000,2,1,17.62,25,2,1K,東,木造
279,55000,2,1,23,24,10,1K,東,木造
280,65000,2,1,22.98,0,13,1K,南西,木造
281,70000,1,1,27,16,4,1DK,南,木造
282,65000,2,1,26.4,11,8,1K,南東,木造
283,51000,1,1,15,19,12,1R,南,木造
284,60000,1,1,15.8,19,12,1K,南,木造
285,58000,2,1,19,15,9,1R,東,木造
286,66000,2,2,27.74,2,10,1K,南西,木造
287,61000,2,1,22.68,18,10,1K,南,木造
288,62000,2,1,19.8,14,13,1K,南,木造
289,58000,2,1,19.8,17,7,1K,南,木造
290,65000,2,1,26.4,11,13,1DK,南,軽量鉄骨
291,60000,1,1,23,17,14,1DK,南,木造
292,58000,2,2,19.87,20,9,1K,南東,木造
293,62000,1,1,20.5,16,7,1K,南,木造
294,52000,1,0,18.02,25,13,1K,南東,軽量鉄骨
295,57000,1,1,21.7,20,10,1K,南,木造
296,60000,1,1,20.37,13,14,1K,西,鉄骨造
297,72000,2,1,20.7,0,2,1K,東,鉄骨造
